a b angulo 
3.13e-08 2.08e-08 0.52 
3.21e-08 2.03e-08 0.52 
3.29e-08 1.97e-08 0.52 
3.37e-08 1.92e-08 0.52 
3.45e-08 1.87e-08 0.52 
3.53e-08 1.82e-08 0.52 
3.61e-08 1.76e-08 0.52 
3.68e-08 1.71e-08 0.52 
3.76e-08 1.66e-08 0.52 
3.84e-08 1.61e-08 0.52 
3.92e-08 1.55e-08 0.52 
4.00e-08 1.50e-08 0.52 
2.50e-08 2.50e-08 0.59 
2.58e-08 2.45e-08 0.59 
2.66e-08 2.39e-08 0.59 
2.74e-08 2.34e-08 0.59 
2.82e-08 2.29e-08 0.59 
2.89e-08 2.24e-08 0.59 
2.97e-08 2.18e-08 0.59 
3.05e-08 2.13e-08 0.59 
3.13e-08 2.08e-08 0.59 
3.21e-08 2.03e-08 0.59 
3.29e-08 1.97e-08 0.59 
3.37e-08 1.92e-08 0.59 
3.45e-08 1.87e-08 0.59 
3.53e-08 1.82e-08 0.59 
3.61e-08 1.76e-08 0.59 
3.68e-08 1.71e-08 0.59 
3.76e-08 1.66e-08 0.59 
3.84e-08 1.61e-08 0.59 
3.92e-08 1.55e-08 0.59 
4.00e-08 1.50e-08 0.59 
2.50e-08 2.50e-08 0.65 
2.58e-08 2.45e-08 0.65 
2.66e-08 2.39e-08 0.65 
2.74e-08 2.34e-08 0.65 
2.82e-08 2.29e-08 0.65 
2.89e-08 2.24e-08 0.65 
2.97e-08 2.18e-08 0.65 
3.05e-08 2.13e-08 0.65 
3.13e-08 2.08e-08 0.65 
3.21e-08 2.03e-08 0.65 
3.29e-08 1.97e-08 0.65 
3.37e-08 1.92e-08 0.65 
3.45e-08 1.87e-08 0.65 
3.53e-08 1.82e-08 0.65 
3.61e-08 1.76e-08 0.65 
3.68e-08 1.71e-08 0.65 
3.76e-08 1.66e-08 0.65 
3.84e-08 1.61e-08 0.65 
3.92e-08 1.55e-08 0.65 
4.00e-08 1.50e-08 0.65 
2.50e-08 2.50e-08 0.72 
2.58e-08 2.45e-08 0.72 
2.66e-08 2.39e-08 0.72 
2.74e-08 2.34e-08 0.72 
2.82e-08 2.29e-08 0.72 
2.89e-08 2.24e-08 0.72 
2.97e-08 2.18e-08 0.72 
3.05e-08 2.13e-08 0.72 
3.13e-08 2.08e-08 0.72 
3.21e-08 2.03e-08 0.72 
3.29e-08 1.97e-08 0.72 
3.37e-08 1.92e-08 0.72 
3.45e-08 1.87e-08 0.72 
3.53e-08 1.82e-08 0.72 
3.61e-08 1.76e-08 0.72 
3.68e-08 1.71e-08 0.72 
3.76e-08 1.66e-08 0.72 
3.84e-08 1.61e-08 0.72 
3.92e-08 1.55e-08 0.72 
4.00e-08 1.50e-08 0.72 
2.50e-08 2.50e-08 0.79 
2.58e-08 2.45e-08 0.79 
2.66e-08 2.39e-08 0.79 
2.74e-08 2.34e-08 0.79 
2.82e-08 2.29e-08 0.79 
2.89e-08 2.24e-08 0.79 
2.97e-08 2.18e-08 0.79 
3.05e-08 2.13e-08 0.79 
3.13e-08 2.08e-08 0.79 
3.21e-08 2.03e-08 0.79 
3.29e-08 1.97e-08 0.79 
3.37e-08 1.92e-08 0.79 
3.45e-08 1.87e-08 0.79 
3.53e-08 1.82e-08 0.79 
3.61e-08 1.76e-08 0.79 
3.68e-08 1.71e-08 0.79 
3.76e-08 1.66e-08 0.79 
3.84e-08 1.61e-08 0.79 
3.92e-08 1.55e-08 0.79 
4.00e-08 1.50e-08 0.79 
2.50e-08 2.50e-08 0.85 
2.58e-08 2.45e-08 0.85 
2.66e-08 2.39e-08 0.85 
2.74e-08 2.34e-08 0.85 
2.82e-08 2.29e-08 0.85 
2.89e-08 2.24e-08 0.85 
2.97e-08 2.18e-08 0.85 
3.05e-08 2.13e-08 0.85 
3.13e-08 2.08e-08 0.85 
3.21e-08 2.03e-08 0.85 
3.29e-08 1.97e-08 0.85 
3.37e-08 1.92e-08 0.85 
3.45e-08 1.87e-08 0.85 
3.53e-08 1.82e-08 0.85 
3.61e-08 1.76e-08 0.85 
3.68e-08 1.71e-08 0.85 
3.76e-08 1.66e-08 0.85 
3.84e-08 1.61e-08 0.85 
3.92e-08 1.55e-08 0.85 
4.00e-08 1.50e-08 0.85 
2.50e-08 2.50e-08 0.92 
2.58e-08 2.45e-08 0.92 
2.66e-08 2.39e-08 0.92 
2.74e-08 2.34e-08 0.92 
2.82e-08 2.29e-08 0.92 
2.89e-08 2.24e-08 0.92 
2.97e-08 2.18e-08 0.92 
3.05e-08 2.13e-08 0.92 
3.13e-08 2.08e-08 0.92 
3.21e-08 2.03e-08 0.92 
3.29e-08 1.97e-08 0.92 
3.37e-08 1.92e-08 0.92 
3.45e-08 1.87e-08 0.92 
3.53e-08 1.82e-08 0.92 
3.61e-08 1.76e-08 0.92 
3.68e-08 1.71e-08 0.92 
3.76e-08 1.66e-08 0.92 
3.84e-08 1.61e-08 0.92 
3.92e-08 1.55e-08 0.92 
4.00e-08 1.50e-08 0.92 
2.50e-08 2.50e-08 0.98 
2.58e-08 2.45e-08 0.98 
2.66e-08 2.39e-08 0.98 
2.74e-08 2.34e-08 0.98 
2.82e-08 2.29e-08 0.98 
2.89e-08 2.24e-08 0.98 
2.97e-08 2.18e-08 0.98 
3.05e-08 2.13e-08 0.98 
3.13e-08 2.08e-08 0.98 
3.21e-08 2.03e-08 0.98 
3.29e-08 1.97e-08 0.98 
3.37e-08 1.92e-08 0.98 
3.45e-08 1.87e-08 0.98 
3.53e-08 1.82e-08 0.98 
3.61e-08 1.76e-08 0.98 
3.68e-08 1.71e-08 0.98 
3.76e-08 1.66e-08 0.98 
3.84e-08 1.61e-08 0.98 
3.92e-08 1.55e-08 0.98 
4.00e-08 1.50e-08 0.98 
2.50e-08 2.50e-08 1.05 
2.58e-08 2.45e-08 1.05 
2.66e-08 2.39e-08 1.05 
2.74e-08 2.34e-08 1.05 
2.82e-08 2.29e-08 1.05 
2.89e-08 2.24e-08 1.05 
2.97e-08 2.18e-08 1.05 
3.05e-08 2.13e-08 1.05 
3.13e-08 2.08e-08 1.05 
3.21e-08 2.03e-08 1.05 
3.29e-08 1.97e-08 1.05 
3.37e-08 1.92e-08 1.05 
3.45e-08 1.87e-08 1.05 
3.53e-08 1.82e-08 1.05 
3.61e-08 1.76e-08 1.05 
3.68e-08 1.71e-08 1.05 
3.76e-08 1.66e-08 1.05 
3.84e-08 1.61e-08 1.05 
3.92e-08 1.55e-08 1.05 
4.00e-08 1.50e-08 1.05 
2.50e-08 2.50e-08 1.11 
2.58e-08 2.45e-08 1.11 
2.66e-08 2.39e-08 1.11 
2.74e-08 2.34e-08 1.11 
2.82e-08 2.29e-08 1.11 
2.89e-08 2.24e-08 1.11 
2.97e-08 2.18e-08 1.11 
3.05e-08 2.13e-08 1.11 
3.13e-08 2.08e-08 1.11 
3.21e-08 2.03e-08 1.11 
3.29e-08 1.97e-08 1.11 
3.37e-08 1.92e-08 1.11 
3.45e-08 1.87e-08 1.11 
3.53e-08 1.82e-08 1.11 
3.61e-08 1.76e-08 1.11 
3.68e-08 1.71e-08 1.11 
3.76e-08 1.66e-08 1.11 
3.84e-08 1.61e-08 1.11 
3.92e-08 1.55e-08 1.11 
4.00e-08 1.50e-08 1.11 
2.50e-08 2.50e-08 1.18 
2.58e-08 2.45e-08 1.18 
2.66e-08 2.39e-08 1.18 
2.74e-08 2.34e-08 1.18 
2.82e-08 2.29e-08 1.18 
2.89e-08 2.24e-08 1.18 
2.97e-08 2.18e-08 1.18 
3.05e-08 2.13e-08 1.18 
3.13e-08 2.08e-08 1.18 
3.21e-08 2.03e-08 1.18 
3.29e-08 1.97e-08 1.18 
3.37e-08 1.92e-08 1.18 
3.45e-08 1.87e-08 1.18 
3.53e-08 1.82e-08 1.18 
3.61e-08 1.76e-08 1.18 
3.68e-08 1.71e-08 1.18 
3.76e-08 1.66e-08 1.18 
3.84e-08 1.61e-08 1.18 
3.92e-08 1.55e-08 1.18 
4.00e-08 1.50e-08 1.18 
2.50e-08 2.50e-08 1.24 
2.58e-08 2.45e-08 1.24 
2.66e-08 2.39e-08 1.24 
2.74e-08 2.34e-08 1.24 
2.82e-08 2.29e-08 1.24 
2.89e-08 2.24e-08 1.24 
2.97e-08 2.18e-08 1.24 
3.05e-08 2.13e-08 1.24 
3.13e-08 2.08e-08 1.24 
3.21e-08 2.03e-08 1.24 
3.29e-08 1.97e-08 1.24 
3.37e-08 1.92e-08 1.24 
3.45e-08 1.87e-08 1.24 
3.53e-08 1.82e-08 1.24 
3.61e-08 1.76e-08 1.24 
3.68e-08 1.71e-08 1.24 
3.76e-08 1.66e-08 1.24 
3.84e-08 1.61e-08 1.24 
3.92e-08 1.55e-08 1.24 
4.00e-08 1.50e-08 1.24 
2.50e-08 2.50e-08 1.31 
2.58e-08 2.45e-08 1.31 
2.66e-08 2.39e-08 1.31 
2.74e-08 2.34e-08 1.31 
2.82e-08 2.29e-08 1.31 
2.89e-08 2.24e-08 1.31 
2.97e-08 2.18e-08 1.31 
3.05e-08 2.13e-08 1.31 
3.13e-08 2.08e-08 1.31 
3.21e-08 2.03e-08 1.31 
3.29e-08 1.97e-08 1.31 
3.37e-08 1.92e-08 1.31 
